2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.91, Check: 2
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.91, Check: 1
2024-09-15 18:51:21: Detected class: stop sign, Confidence: 0.91, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:41: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:42: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:51:43: Detected class: stop sign, Confidence: 0.94, Check: 2
